date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:49:05	1284/1284	---MC-	200	added ('OK')	text/plain	date:Mon,%2031%20Jul%202023%2023:49:04%20GMT	https://forums.gauntlet-rpg.com/robots.txt		(from )
02:49:06	10159/10159	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2023:49:05%20GMT	https://forums.gauntlet-rpg.com/	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/index.html	(from )
02:49:07	725/725	---MC-	200	added ('OK')	application/xml	date:Mon,%2031%20Jul%202023%2023:49:06%20GMT	https://forums.gauntlet-rpg.com/opensearch.xml	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/opensearch.xml	(from https://forums.gauntlet-rpg.com/)
02:49:08	289291/289291	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Jan%202020%2021:30:39%20GMT	https://forums.gauntlet-rpg.com/stylesheets/desktop_55f06712376291d809ecf79aecaf07fd06a8c979.css?__ws=forums.gauntlet-rpg.com	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/stylesheets/desktop_55f06712376291d809ecf79aecaf07fd06a8c979.css_;%20filename_=UTF-8''desktop_55f06712376291d809ecf79aecaf07fd06a8c9791a85.css	(from https://forums.gauntlet-rpg.com/)
02:49:09	90/90	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Jan%202020%2021:30:40%20GMT	https://forums.gauntlet-rpg.com/stylesheets/desktop_theme_2_2d4c228818bc7664ec196065afb575563959f7b9.css?__ws=forums.gauntlet-rpg.com	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/stylesheets/desktop_theme_2_2d4c228818bc7664ec196065afb575563959f7b9.css_;%20filename_=UTF-8''desktop_theme_2_2d4c228818bc7664ec196065afb575563959f7b91a85.css	(from https://forums.gauntlet-rpg.com/)
02:49:10	28828/28828	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2023:49:09%20GMT	https://forums.gauntlet-rpg.com/c/announcements	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/c/announcements.html	(from https://forums.gauntlet-rpg.com/)
02:49:11	28057/28057	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2023:49:10%20GMT	https://forums.gauntlet-rpg.com/c/rpg-chat	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/c/rpg-chat.html	(from https://forums.gauntlet-rpg.com/)
02:49:12	22607/22607	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2023:49:11%20GMT	https://forums.gauntlet-rpg.com/c/gauntlet-publishing	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/c/gauntlet-publishing.html	(from https://forums.gauntlet-rpg.com/)
02:49:13	34261/34261	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2023:49:12%20GMT	https://forums.gauntlet-rpg.com/c/gauntlet-community	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/c/gauntlet-community.html	(from https://forums.gauntlet-rpg.com/)
02:49:14	29718/29718	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2023:49:13%20GMT	https://forums.gauntlet-rpg.com/c/gauntlet-calendar	Documents/Projects/The%20Gauntlet%20Forums%20Archive/forums.gauntlet-rpg.com/c/gauntlet-calendar.html	(from https://forums.gauntlet-rpg.com/)
